地名,センター,可燃ゴミ,不燃ゴミ,大型可燃ゴミ,リサイクルゴミ
赤大路町,ごみ収集,月 木,火2,金1,水1 水3
芥川町１丁目,ごみ収集,月 木,水4,水1,火1 火3
芥川町２丁目,ごみ収集,月 木,水4,水1,火1 火3
芥川町３丁目,ごみ収集,月 木,水4,水1,火1 火3
芥川町４丁目,ごみ収集,月 木,水4,水1,火1 火3
明田町,ごみ収集,月 木,水4,水2,火1 火3
明野町,ごみ収集,月 木,金2,火4,金1 金3
朝日町,ごみ収集,月 木,火2,金1,水1 水3
阿武野１丁目,ごみ収集,月 木,金1,水4,金2 金4
阿武野２丁目,ごみ収集,月 木,金1,水4,金2 金4
安満磐手町,ごみ収集,火 金,木2,月1,月2 月4
天川新町,ごみ収集,月 木,金3,水3,火2 火4
天川町,ごみ収集,月 木,金3,水3,火2 火4
安満北の町,ごみ収集,火 金,木2,月1,月2 月4
安満御所の町,ごみ収集,火 金,木2,月1,月2 月4
安満新町,ごみ収集,火 金,木2,月1,月2 月4
安満中の町,ごみ収集,火 金,木2,月1,月2 月4
安満西の町,ごみ収集,火 金,木2,月1,月2 月4
安満東の町,ごみ収集,火 金,木2,月1,月2 月4
安岡寺町１丁目,ごみ収集,火 金,木1,水1,水2 水4
安岡寺町２丁目,ごみ収集,火 金,木1,水1,水2 水4
安岡寺町３丁目,ごみ収集,火 金,木1,水1,水2 水4
安岡寺町４丁目,ごみ収集,火 金,木1,水1,水2 水4
安岡寺町５丁目,ごみ収集,火 金,木1,水1,水2 水4
安岡寺町６丁目,ごみ収集,火 金,木1,水1,水2 水4
井尻１丁目,ごみ収集,火 金,水4,木2,月2 月4
井尻２丁目,ごみ収集,火 金,水4,木2,月2 月4
今城町,ごみ収集,月 木,金1,水2,水1 水3
美しが丘１丁目,ごみ収集,火 金,木4,月3,月2 月4
美しが丘２丁目,ごみ収集,火 金,木4,月3,月2 月4
浦堂１丁目,ごみ収集,火 金,木3,水2,木2 木4
浦堂２丁目,ごみ収集,火 金,木3,水2,木2 木4
浦堂３丁目,ごみ収集,火 金,木3,水2,木2 木4
浦堂本町（パークシティーを除く）,ごみ収集,火 金,木3,水2,木2 木4
浦堂本町（パークシティー）４５～４８番,ごみ収集,火 金,木1,水1,水2 水4
永楽町,ごみ収集,月 木,金2,火4,金1 金3
大冠町１丁目,ごみ収集,月 木,水1,金2,金1 金3
大冠町２丁目,ごみ収集,月 木,水1,金2,金1 金3
大冠町３丁目,ごみ収集,月 木,水1,金2,金1 金3
大塚町１丁目,ごみ収集,月 木,金4,火3,金1 金3
大塚町２丁目,ごみ収集,月 木,金4,火3,金1 金3
大塚町３丁目,ごみ収集,月 木,金4,火3,金1 金3
大塚町４丁目,ごみ収集,火 金,木3,木4,月1 月3
大塚町５丁目,ごみ収集,火 金,木3,木4,月1 月3
大手町,ごみ収集,月 木,火4,金3,火1 火3
大畑町（摂津マンション以外）,ごみ収集,月 木,火2,金1,水1 水3
大畑町（摂津マンションのみ）,ごみ収集,火 金,火2,金1,水1 水3
岡本町,ごみ収集,月 木,火3,水2,金2 金4
奥天神町１丁目,ごみ収集,火 金,木1,水3,水2 水4
奥天神町２丁目,ごみ収集,火 金,木1,水3,水2 水4
奥天神町３丁目,ごみ収集,火 金,木1,水3,水2 水4
樫田全域,ごみ収集,火 金,木2,水1,水2 水4
梶原１丁目,ごみ収集,火 金,水4,水3,月2 月4
梶原２丁目,ごみ収集,火 金,水4,水3,月2 月4
梶原３丁目,ごみ収集,火 金,水4,水3,月2 月4
梶原４丁目,ごみ収集,火 金,水4,水3,月2 月4
梶原５丁目,ごみ収集,火 金,水4,水3,月2 月4
梶原６丁目,ごみ収集,火 金,水4,水3,月2 月4
梶原中村町,ごみ収集,火 金,水4,水3,月2 月4
春日町,ごみ収集,月 木,火1,金4,金1 金3
上田辺町,ごみ収集,月 木,水4,水2,火1 火3
上土室１丁目,ごみ収集,月 木,金3,水4,金2 金4
上土室２丁目,ごみ収集,月 木,金3,水4,金2 金4
上土室３丁目,ごみ収集,月 木,金3,水4,金2 金4
上土室４丁目,ごみ収集,月 木,金3,水4,金2 金4
上土室５丁目,ごみ収集,月 木,金3,水4,金2 金4
上土室６丁目,ごみ収集,月 木,金3,水4,金2 金4
上本町,ごみ収集,月 木,火4,金3,火1 火3
唐崎,ごみ収集,火 金,水4,木2,月1 月3
唐崎北１丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎北２丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎北３丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎中１丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎中２丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎中３丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎中４丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎西１丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎西２丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎南１丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎南２丁目,ごみ収集,火 金,水4,木2,月1 月3
唐崎南３丁目,ごみ収集,火 金,水4,木2,月1 月3
花林苑,ごみ収集,火 金,水1,水3,木2 木4
川久保,ごみ収集,火 金,水1,水3,水2 水4
川添１丁目,ごみ収集,火 金,木1,月2,月1 月3
川添２丁目,ごみ収集,火 金,木1,月2,月1 月3
川西町１丁目,ごみ収集,火 金,木3,月4,木2 木4
川西町２丁目,ごみ収集,月 木,火4,水1,火1 火3
川西町３丁目,ごみ収集,火 金,水3,月1,木1 木3
上牧北駅前町,ごみ収集,火 金,木4,水3,月2 月4
上牧町１丁目,ごみ収集,火 金,木4,水3,月2 月4
上牧町２丁目,ごみ収集,火 金,木4,水3,月2 月4
上牧町３丁目,ごみ収集,火 金,木4,水3,月2 月4
上牧町４丁目,ごみ収集,火 金,木4,水3,月2 月4
上牧町５丁目,ごみ収集,火 金,木4,水3,月2 月4
上牧南駅前町,ごみ収集,火 金,木4,水3,月2 月4
上牧山手町,ごみ収集,火 金,木4,水3,月2 月4
北大樋町,ごみ収集,火 金,水3,木2,月1 月3
北昭和台町,ごみ収集,火 金,水2,月2,木1 木3
北園町,ごみ収集,月 木,水4,水2,火1 火3
北柳川町,ごみ収集,火 金,水2,月2,木1 木3
京口町,ごみ収集,月 木,火4,金3,火1 火3
郡家新町,ごみ収集,月 木,金1,水2,金2 金4
郡家本町,ごみ収集,月 木,火3,水2,金2 金4
高西町,ごみ収集,月 木,金1,水1,火2 火4
神内１丁目,ごみ収集,火 金,木4,水3,月2 月4
神内２丁目,ごみ収集,火 金,木4,水3,月2 月4
黄金の里１丁目,ごみ収集,火 金,木3,水1,木2 木4
古曽部町１丁目,ごみ収集,火 金,水2,水3,月2 月4
古曽部町２丁目,ごみ収集,火 金,水2,水3,月2 月4
古曽部町３丁目,ごみ収集,火 金,水2,水3,月2 月4
古曽部町４丁目,ごみ収集,火 金,水2,水3,月2 月4
古曽部町５丁目,ごみ収集,火 金,水2,水3,月2 月4
寿町１丁目,ごみ収集,火 金,水3,月4,木1 木3
寿町２丁目,ごみ収集,火 金,水3,月4,木1 木3
寿町３丁目,ごみ収集,火 金,水3,月4,木1 木3
紺屋町,ごみ収集,月 木,水4,水2,火1 火3
五領町,ごみ収集,火 金,水4,水3,月2 月4
西面北１丁目,ごみ収集,火 金,水4,木2,月1 月3
西面北２丁目,ごみ収集,火 金,水4,木2,月1 月3
西面中１丁目,ごみ収集,火 金,水4,木2,月1 月3
西面中２丁目,ごみ収集,火 金,水4,木2,月1 月3
西面南１丁目,ごみ収集,火 金,水4,木2,月1 月3
西面南２丁目,ごみ収集,火 金,水4,木2,月1 月3
西面南３丁目,ごみ収集,火 金,水4,木2,月1 月3
西面南４丁目,ごみ収集,火 金,水4,木2,月1 月3
幸町,ごみ収集,月 木,火2,金1,水1 水3
栄町１丁目,ごみ収集,火 金,水1,水4,木1 木3
栄町２丁目,ごみ収集,火 金,水1,水4,木1 木3
栄町３丁目,ごみ収集,火 金,水1,水4,木1 木3
栄町４丁目,ごみ収集,火 金,水1,水4,木1 木3
桜ケ丘北町,ごみ収集,月 木,金3,水2,水1 水3
桜ケ丘南町,ごみ収集,月 木,金3,水2,水1 水3
桜町,ごみ収集,月 木,水4,水2,火1 火3 
沢良木町,ごみ収集,月 木,火4,火2,金1 金3
三箇牧１丁目,ごみ収集,火 金,水4,木2,月1 月3
三箇牧２丁目,ごみ収集,火 金,水4,木2,月1 月3
芝谷町,ごみ収集,月 木,金4,水3,水2 水4
芝生町１丁目,ごみ収集,月 木,金3,金4,火2 火4
芝生町２丁目,ごみ収集,月 木,火1,金2,火2 火4
芝生町３丁目,ごみ収集,月 木,金3,金4,火2 火4
芝生町４丁目,ごみ収集,月 木,金3,金4,火2 火4
